C16:1
C17:1
C18:1
C24:1
C27:1
C3:1
C4:1
C5:1
C6:1
C8:1
H1:1
H2:1
H3:1
H4:1
J13:1
J2:1
J3:1
J5:1
JP1:1
R19:1
R5:1
R6:1
SW1:1
SW2:1
SW3:1
SW4:1
SW5:1
SW6:1
SW7:1
SW8:1
U1:1
U2:1
U5:1
